微博发布时间,微博中文内容,情感倾向
01月24日 23:19,非典的时候发烧。现在又感冒。我可真会凑热闹?,-1
01月24日 23:51,不屑一喵新年快乐好的出门戴口罩好的不要发烧好的不要感冒好的不要去外面瞎溜达好的出入平安好的一生幸福好的天天开心好的?展开全文c,1
01月24日 16:58,本命年安排2.0今天去医院人家说没症状体温正常安心回家待着发烧再来希望春天早日来临?,1
02月09日 22:17,《饶毅：我为什么反对中国学生上美国顶尖大学？-房天下博客》有事搜一搜，没事看一看O饶毅：我为什么反对中国学生上美国顶尖大学？?,0
02月09日 13:38,//@Tyrion-Lannisterrr:拓展得很好了，但好奇怪对某些问题的答案竟然不是共识…这提的些问题难道不是那些提问者动动手上网搜一下就可以解决的事情吗。还有让评价施一公饶毅的…把张医生当神了啊，人都不是混一个领域的。,0
02月09日 19:56,#一定能康复，加油，老爸#看了贴子《保护饶毅》很早就听过饶公大名，直到这篇文章，对我的震撼如五岳压顶，我只能词穷的说一句，我cao，哥们太牛了，世间竟真有这样的人！[惊恐]从此，我的偶像又多了一个，仨了。我的能力比人家差了n个数量级，改变不了中国什么了。但做人做事上，我要做饶公这样的人?展开全文c,1
01月25日 23:37,爸今天一个人呆呆傻傻地坐在那里，我过去抱着他哭了，他也哭出来了，多哭哭好，至少情绪能发泄出来。后来他就睡觉了，我刚进去看他，还好，没发烧。今天老公说可能人死之后还会有灵魂的存在，以一个上帝视角来俯瞰苍生，挺难过，也希望是这样。喝了酒就会越累越困越困越沉。刚刚看了看妈的骨灰骨盆及?展开全文c,-1
01月26日 23:51,#湖北省长表示痛心内疚自责#我现在量体温37.1，算不算发烧鸭TT我好害怕，我不过也可能是因为刚刚睡了一个小时没盖被子着凉了，有点鼻涕本来就有点怕冷，刚刚吃了一个感冒剂，家里人说没太烧不吃退烧药?,-1
01月26日 23:48,多希望你们能多多报道武汉周边县市的情况，我们是湖北仙桃，整个市只有两家定点医院，其中一家只收确诊病例，发热病人都只能去另一家医院先检查，而病人可以排到马路上去，因为发热门诊只有一个医生，所有的检查环节都只有一个医生。我爸爸发烧现在还在医院门诊排队检查。,0
01月28日 23:48,检测试剂哪里有卖！自从我婆婆说她发烧以后我就一直咳嗽我妈也说喉咙不舒服?,-1
01月01日 02:23,【《柳叶刀》最新报告：#全球23亿人超重#，肥胖症和营养不足会影响几代人】《柳叶刀》杂志最近发表的一份报告指出，#全球3成人口超重#，超过1.5亿儿童发育迟缓。该报告警告，营养不足和肥胖会影响几代人，并建议采用高质量饮食来限制营养不足和肥胖蔓延，在膳食中增加水果和蔬菜，减少肉的比例。何以01?展开全文c,0
01月29日 22:01,新冠肺炎疫情，搞得我从外面回来总觉得嗓子疼、眼睛模糊，上不来气、脑袋发烧。买不到消毒液，买了能找到的最高度数的白酒。今天领到了酒精，看看这么多人，感觉自己是冒着生命危险。好友送来热呼呼的酱驴肉，危险时期，匆匆一见，送我亲手做的美食，“患难之交”啊！?,-1
01月31日 19:26,我认为已经有不发烧确诊病例，用测温进站方式应对不准确，病毒扩散是必然可以的话还是关闭吧，非常时期非常手段非常对待??O地铁测温进站方式能应对返程客流高峰吗？是否有病毒扩散风险??,0
02月02日 23:55,【9.8】999医用退热贴4贴/盒官旗活动！！物理降温、发烧应急??大人小孩都能用~?【10元券】微博专享限时领券?,0
02月02日 17:35,我就想问问小地方的医生的营业执照是随便就可以弄来的吗，给一个未成年人(因咽喉发炎引起发烧)吃两粒头孢拉定胶囊，我看着封面上说的是成人一到两粒，我百度了也是，怎么他就这么随意，我都跟他强调了，还是如此，气的我，想口吐芬芳，而且小地方的我们还没有口罩，，，，?,-1
02月04日 22:26,不想听你们的读稿广播..........红十字仓库拿出来的口罩不好意思带了么，给这些人带有毛用，贪污国家的钱，不顾人民死活。我说的对么网友们为啥31号还有发烧的能跑出来,-1
01月15日 00:39,最近附二麻醉医生的文章原滋原味出现在了柳叶刀杂志上惹得眼红幻想着有一天我也可以他有外科大拿父亲我有农村赤脚医生奶奶很早以前家里有条奶奶不知从哪里捡回来的黄狗这狗是家里的功臣曾经夜里陪奶奶去村里接生还给小猪仔当过奶娘后来寿终那时候在我的印象里便有了一个在村边模糊?展开全文c,0
01月15日 11:09,关于氨甲环酸的安全性，柳叶刀新发表的临床研究(CRASH-3)显示其与安慰剂相比在残疾、癜痫、血管闭塞事件方面的风险相似。而之前的CRASH-2试验是显示其在TBI(创伤性颅脑损伤)者中早期使用对降低死亡率的有效性的。老师0115。肤科治疗#黄褐斑#也常用氨甲环酸口服，有同行担心这个药会导致血管意外事件，?展开全文c,0
02月06日 22:50,吹L就感冒淋雨就l有劬秃梦也辉偬涌仗日子@一路都在熬?,-1
02月07日 22:11,#情况通报##天津生活##共同战疫#【天津检察机关依法从快批捕一起涉疫情妨害公务案件】一男子存在发烧发热症状，因恐惧被隔离，抢夺民警警械，强行拉警车手刹，导致警车受损、车内民警受伤。日前，天津市西青区检察院以涉嫌妨害公务罪对该男子作出批准逮捕决定。@天津市人民检察院?,0
02月09日 23:37,【#发烧患者驾车逃离医院#警方全城布控现场苦劝】2月7日晚，山西河津人民医院报警称，隔离病房内一名发烧患者驾车逃离医院。警方立即全城布控搜寻车辆，同时民警通过电话与患者联系。取得信任后，民警到场与患者面对面沟通、耐心劝解，极力帮助患者解决疑虑。最终患者同意回院接受隔离治疗。?展开全文c,0
02月10日 23:06,在家待的发烧39度?,-1
02月10日 21:53,20191106秦霄贤孙九香（发烧卖估衣）,0
02月12日 23:28,我1月9号发烧37度8，区人民医院抽了一管子血，医生给我说屁事没有，开了点药回去了。11号晚上直接烧到40度，凌晨跑省人民医院又抽一管子血，医生说：屁事没有，就是普通感冒。我：哦（卑微）。,-1
02月12日 23:27,【如何对付宝宝发烧】1.38.5℃以下不用退热处理，解开衣服，褪去包被，用温水给孩子擦身子散热。高热时(39℃以上)应在医生指导下退热。2.切忌不可用酒精给小儿擦身，酒精易使血管扩张，血容量下降引起休克。3.不能像成人一样，感冒多穿衣捂汗使体温下降。?,0
02月13日 23:30,没有其他症状不建议退烧，发烧代表免疫系统工作，是好事，如果没有其他症状的话//@雨卓39963:那有普通的发烧患者，在家退烧退不下来的，去医院也没有药吗？,0
01月30日 11:39,不仅仅是一篇柳叶刀，之前复旦南开那样子不也一样“有趣”，更不提被排斥的港大。。。。//@ClCH2COBr:唉……虽然如此我觉得一篇柳叶刀也不至于让人这么胆大包天，我还是先暂时相信是受到了什么指示……,0
01月31日 19:55,//@知识分子:那篇柳叶刀论文的主要作者是北京来的卫健委专家组……//@jirb1985:回答的很好，就一个问题，他说是根据存在无华南海鲜市场暴露史的病例推断人传人的，那问题来了，24号柳叶刀的41例病例里就有无暴露史的，还是前四例里边的三例，柳叶刀那篇论文是啥时候写的？,0
02月01日 20:05,//@破破的桥:虽然说的比较客气，但川普这个就是全面禁止中国人入境。绿卡等身份号称能进美国但实际因为直航班机取消等，会非常麻烦。背景是新的柳叶刀预估当前武汉感染人数为7.58万（置信度区间3.7-13.0万）,0
02月15日 23:54,求住院：【姓名】徐智彦【性别】男【年龄】78【所在区】江岸区【所在社区】后湖苑社区【详细地址】瑞景天成1栋903【患病时间】2月6日首次发烧【核酸检查】无【联系方式】13429890027（病人女儿）【病情详细描述】从1月20日至今有咳嗽症状，咳嗽有痰2月6日下午五点左右首次发烧，发烧至38.4°2?展开全文c,0
02月15日 22:39,希望大头千万别发烧。?,0
02月06日 01:40,"//@杨长雍://@但斌://@晴天蓝天空气好://@吴春芳--中国定位研究:高福领衔团队在《柳叶刀》杂志发表的9篇臭文，已被确凿的证据证实：""臭不可闻""！牢牢的钉在历史的耻辱柱上，永远翻不了案！科技部的发文，为何强调“把论文写在祖国大地上”？",0
02月07日 19:37,《《柳叶刀》最新评论文章：应避免使用激素治疗新冠肺炎，弊大于利｜钛快讯》新冠肺炎的临床医生仍应针对炎性或肺部疾病等病症进行治疗，并使用抗病毒药物，治疗以对症、支持为主。O网页链接?,0
02月16日 15:07,//@龙大静静静:唔系要测体温嘎咩//@永恒TO落叶:发烧怎么进的地铁？？？,-1
02月08日 13:43,南通优秀基层民警郝津翔他是斩黑除恶“柳叶刀”获评“最美警察”称号|南通新闻圈L南通-新闻圈的微博视频?,1
02月17日 23:19,//@混沌茶://@蜡笔不能吃:我现在想回国…//@秋裤子_chewcool:很好很霓虹静，就算发烧了他们也是一定会连勤的因为不想用有休//@双马尾的friends小丘丘:。日本床位真的吗，太恐怖了想要跑路回国,-1
02月17日 23:52,#新冠病毒下众生相#来自火神山的声音现在是2020年2月17日晚上9点，是我发烧以来的第二十四天，退烧的第十五天，住院第十九天，来到火神山的第十四天。今天晚上吃饭，一边吃一边看手机新闻，刷到甘肃妇幼保健院的护士们来支援武汉，一群姑娘们，为了便于消毒和穿脱防护服，把头发都剃了光头。天?展开全文c,0
02月09日 14:04,第一批赴武汉的8名专家，是否该彻查？环球网讯?昨天?新冠肺炎疫情防控的关键时刻，一篇发表在新英格兰医学杂志“柳叶刀”上的论文，把中国疾病预防控制中心（CDC）推到了风口浪尖。这篇论文称：研究表明，自2019年12月中旬以来，密切接触者之间已经发生了人际传播。此外，1月1日~1月11日，共有7?展开全文c,0
02月09日 23:35,//@潋滟清溪:可是……12月1号，这种病毒就上柳叶刀了……这不是意味着那时候就已经有患者了么？//@御墨家声:说出来了！媒体说出来了,0
02月12日 19:16,#腾讯新闻#柳叶刀刊发中国学者评论：新冠病毒肺炎与野味消费的关系O网页链接来自@腾讯新闻?,0
02月18日 20:45,【#18国医生联名呼吁停止折磨阿桑奇#：不应出于政治动机而延误治疗】2月17日，来自18个国家的117名医生联名致信《柳叶刀》杂志，呼吁停止折磨阿桑奇，并给予其接受治疗的权利。医生称，阿桑奇很有可能在英国监狱里被折磨致死。4月11日，“维基解密”创始人阿桑奇在厄瓜多尔驻英国大使馆被捕，此后他多?展开全文c,0
02月18日 19:03,宅家要多动！,0
02月18日 22:22,#抗疫记录#看了柳叶刀最新一篇editorial提到中国以最快的速度建设两家新的医院专门收治新冠病人的医院，这在其它任何国家是不可能有这速度的！以及中国以最快的速度获得SARS—CoV—2的全基因组序并全球共享，这在以前的传染病爆发中也是不可能以如此之快的速度完成的！中国医生、科学家和政府真的?展开全文c,0
02月09日 11:01,恐怖游轮,-1
02月10日 20:25,同样的游轮，不同的命运。钻石公主号这是要全船覆灭的节奏，各国赶快把自家人都早早领回去，别沾光了日本的医疗资源。?,-1
02月11日 11:51,"为什么不在游轮旁的岸上建造简易病房,把那些已经确诊的人集中治疗其他游轮上的人纳入隔离期,如果隔离期过后没有问题,再派专车转移到其他隔离地方集中再隔离,确定没有问题可以让其回来。",0
02月11日 18:18,大家如果能联系上钻石游轮号，请转发到游轮管理层，让他们关闭中央空调，现在的交叉感染主要是因为中央空调系统，以免更多船上人感染，张常伟敬#钻石公主号邮轮新增41例新冠肺炎##交叉感染##恐怖游轮#?,0
02月12日 10:19,资讯河北#河北资讯快报#【#日本游轮确诊病例增至174例#新增39例】据日本放送协会(NHK)报道，日本政府表示，正停泊在日本横滨近海的游轮“钻石公主”号上，新增39例#新型冠状病毒#感染病例。报道称，游轮上累计确诊病例已达174例。据报道，日本卫生部一名官员在对“钻石公主号”游轮进行检查?展开全文c,0
01月08日 12:54,【总摸脸，小心变丑！】紧张时下意识地摸鼻子，累了用手托下巴……据美国国家卫生研究院数据，人平均每小时摸脸4次。美国亚利桑那大学研究称，每6.5平方厘米的桌子上，细菌数量超过厕所百倍，接触后摸脸，极易把细菌传播给皮肤。皮肤科医生惠特尼?鲍指出，常摸脸可能堵塞毛孔，2周后就会出现痤疮。?,0
01月04日 21:26,#运动打卡100天#24天，三分练七分吃，我为什么就是管不住嘴啊啊啊，感觉时间过好慢啊，想上班，上班了是不是就没时间吃了。既然饮食实在控制不住，那就把想吃的都放在早饭，午饭晚饭控制在1000卡。首先，生物钟真的要调整，每天晚上刷抖音真的好浪费时间，为什么不能做一点有意义的事情呢过?展开全文c,0
01月21日 07:48,【#新型冠状病毒肺炎采取甲类传染病防控措施#】报国务院批准同意，国家卫生健康委决定将新型冠状病毒感染的肺炎纳入法定传染病乙类管理，采取甲类传染病的预防、控制措施。#新型冠状病毒肺炎纳入法定传染病#管理，各级人民政府、卫生健康行政部门、其他政府部门、医疗卫生机构可以依法采取病人隔离治疗?展开全文c,0
01月21日 22:24,//@毛a小:……emmmm//@川一V:不知道有多少人在该患者发病的情况下已经和她接触过了……这是一种怎样的精神硬要感染两地民众。///@穷台不要停:在武汉生病九天不上报，不救医。非要回台湾，理由是不相信武汉医疗。这样的做法非常不好，在武汉会造成多少的传播啊…,-1
01月22日 09:15,#健康科普汇#【权威解答新型冠状病毒感染的肺炎纳入乙类传染病，为啥采取甲类传染病的预防、控制措施】目前#国内确诊291例新型冠状病毒肺炎病例#。新型冠状病毒感染的肺炎被纳入了乙类传染病，为什么要采取甲类传染病的预防、控制措施？根据目前对新型冠状病毒感染的肺炎的病原、流行病?展开全文c,0
01月25日 23:22,在疫情扩散这么严重下海南免税店正常营业而且去的游客大部分都是武汉人无意间成为病毒源头客流量一天来来往往指不定多少人我们也接触也一部分或者我们也不知觉的成为病毒的传播者希望政府能够及时解决@中国旅游#三亚旅游局#2大同?,0
01月26日 21:05,【河南省人民政府关于加强新型冠状病毒感染的肺炎防控工作的通告】为加强新型冠状病毒感染的肺炎防控工作，有效遏制新型冠状病毒感染的肺炎传播，保障人民群众身体健康和生命安全，根据《中华人民共和国传染病防治法》《突发公共卫生事件应急条例》等有关法律法规规定，现将有关事项通告如下：一、?展开全文c,0
01月27日 22:59,#抗击新型冠状病毒感染的肺炎疫情#【集结号吹响！丹东各部门迅速落实各项防控措施】今天，记者从丹东市文化旅游和广播电视局了解到，根据国家、省和我市对新型冠状病毒感染的肺炎疫情防控工作的部署，为维护我市公众身体健康和生命安全，坚决防止疫情在丹东扩散，根据国务院相关法律法规的规定以及我?展开全文c,0
01月27日 23:13,新型冠状病毒肺炎，还在蔓延扩散，确诊人数不断的在增加，死亡人数也在增加，我们浙江在第一时间启动一级响（突发公共卫生事件性质，危害程度，涉及范围，事件分为特别重大（1级）重大（2级）较大（3级）和一般（4级））可见此次传播疾病的严重性，虽然武汉已经封城了，但是离开武汉的有500多万人又该?展开全文c,0
01月28日 18:06,哈尔滨不许你们还不知道！#全国确诊新型肺炎病例##新型冠状病毒可通过接触传播##最新疫情地图##武汉肺炎##武汉加油##武汉##华南海鲜市场存在大量新冠病毒#武汉#大年初四#2香港?,0
01月29日 21:12,"#新型冠状病毒#【细致询问让部分市民认为隐私被侵犯120表示请市民理解和配合】""去过外地吗？""、""接触过武汉游客吗？""、""家人有从外地刚回来的吗？""近期一些拨打过""120""的啥尔滨市民会发现，急救调度员在接警时会多问三句话。对此一些市民感到不理解，甚至感到自己的个人隐私被侵犯。记者从哈尔滨市?展开全文c",0
01月29日 19:08,【#什么是接触传播#？转发周知！】国家医疗专家组成员李兴旺表示，所谓接触传播，是指手污染到病毒，然后手再去揉眼睛或触碰身体的其他部位，有可能造成病毒感染。专家提醒：戴口罩、勤洗手、做防护！#新型冠状病毒可通过接触传播#（人民日报）???,0
01月29日 23:55,李兰娟院士的采访文字我看到了。其实和我之前表述的一模一样：从新冠病毒的流行病学调查，以及其和SARS冠状病毒的关系看，新冠病毒已经证实能在哺乳动物之间传播，且考虑到SARS病毒的情况，宠物具有感染武汉新冠病毒的风险。不过目前还没有动物实验证据来证明。正因为存在这种风险，所以李院士也提出了?展开全文c,0
01月29日 16:07,【#什么叫接触传播#？转发周知！】,0
01月21日 09:40,周末故宫大奔事件很快被武汉肺炎占领热点，朝阳又发生砍医生事件，庚子年不太平，平安度过吧。2003年SARS已经上班，公交车上下，生死好像没那么担忧，据说北京很严重，不接待北京客户。这次演化路径和那次有点像，都要自求多福，也许也会对货币财政政策产生影响，经济快速发展已经超越了自然承受力，这?展开全文c,0
01月21日 19:08,【春节期间市区公交运行时间临时调整】#小亳提示#春节即将来临根据春节期间市民实际出行情况，市公交公司对大年三十和大年初一这两天的公交运营时间进行了适当的调整。1月24日（大年三十），城区内所有常规公交线路末班时间为18:00，夜1线、夜2线、夜3线末班时间为21:00。1月25日（大年初一），城区?展开全文c,0
01月21日 13:45,科室几个医生居家隔离观察去了，科里只有两个哺乳期妈妈医生上班，一个负责病区会诊，一个负责门诊，没有上级医生把关是不可能的，所以本应居家隔离的作为科主任的我，只能继续战斗在门诊，兼顾病区会诊。门诊是一个非常复杂并且难搞的地方，我戴着几层口罩穿着隔离衣，憋气难受，但是更憋气难受的是病?展开全文c,-1
01月30日 12:05,高发期预警儿童预防猩红热悄袭大家榱鞲屑靶滦凸畈《痉窝岸加防r，有可能忽略了另一常冬季流行病猩t帷Ｐl生防o中心早前便近期韧蝗讳得四十六宗案。每年11月至3月期g乃此症高l期，初期症钆c流感相似，可惆l乐刂睿十q以下孩子最易染病，不可不防。草莓舌最常?展开全文c,0
01月31日 11:45,回复@Fucknews:确实没说不会感染但现在也没说会感染啊，例如那高层猫，它们基本都是家养的，不会有太多人下楼溜猫，尤其是疫情出现后，那么这些宠物接触到的只有自己的主人，如果被传染也是主人传染它们的，但是现在断章的报道出现，导致大量的宠物遭到遗弃或者杀死，不是更加大了病毒的传播。,0
02月01日 22:17,//@今天南京扩容了吗:旱獭也就是土拨鼠也是一种老鼠，能传染鼠疫。曾经有某地用土拨鼠的皮充当貂皮，大肆捕杀土拨鼠导致鼠疫传播，当时死了六万人，这算是少的了，历史上发生过两次大鼠疫一次死了一个亿，一次死了2500万（著名的欧洲黑死病）。遇到接触野生动物的人，做不到举报就离他远远的吧！??,0
02月01日 14:54,#防控疫情我们在一起#【#世卫组织称无证据显示宠物会感染#】近日，针对“宠物是否会传播新型冠状病毒”的问题，@世界卫生组织回应：目前没有证据显示狗猫等宠物会感染新型冠状病毒。与宠物接触后，用肥皂和水洗手可以显著减少其他常见细菌在宠物和人类之间的传播，如大肠杆菌和沙门氏菌。????,0
02月01日 21:31,//@花花与三猫CatLive:重点一：目前没有证据表明猫狗可以感染。重点二：什么情况能传染？猫狗去外面接触感染源，主人正好接触到病毒，进入眼睛or口鼻。（减少宠物外出或者不外出是关键）重点三：患者的宠物也需要被隔离喂养，是为了防止病毒变异和接触性传播。（所以为了保护好鹅子，所以请大家保护,0
02月01日 20:53,听了这话，眼睛一亮：“是可以探望的啊。”#什么是接触传播#?,0
02月02日 17:56,两种可能：1.类似香港淘大花园从下水管道传播；2.住宅楼门禁、电梯的扶手按键等等公共接触物。//@回忆专用小马甲:希望赶紧查清原因呀。。。//@阿宁很优秀_:……//@大头和他的朋友们:。。。//@辣条娘:？？？？这怎么防,0
02月02日 22:22,#关注宁波疫情#【目前，全省共追踪到密切接触者11961人，已解除医学观察1008人，尚有10397人正在接受医学观察。】从目前疫情报告情况来看：　　春节前集中返乡人员已过发病平均潜伏期，输入性病例高峰可望在元宵节后逐渐回落，若各项管控措施严格落实，严控当地传播，浙江病例快速上升势头有望得到?展开全文c,0
02月02日 23:14,社^感染是最最麻┑模沙士期g社^感染鞑プ榭植馈！！//@互联网的那点事:3例病例存在以下共同特点：在发病前的最长潜伏期之内（14天），未离开过深圳；未接触过确诊病例和疑似病例,0
01月28日 21:01,控制疫情需要，公司放假时间已经调整到2月10号了，在这里要跟大家说声抱歉，特殊时期，工厂、物流上班时间比原先预计的都要晚一点，这也是为了控制疫情进一步扩大和加剧，因此会对发货和售后有一定影响，希望大家理解一下，谢谢。1月快结束了，祈祷2月都是好消息??????,0
01月28日 21:47,好不容易生物钟调整了能睡到十点左右醒，却被告知明天要去上班??但愿我们工作的有价值???,0
02月03日 22:52,#硬核防疫#【李兰娟：人与人间距1.5米到2米比较安全】国家卫健委高级别专家组成员、中国工程院院士李兰娟在媒体采访时表示，一般来讲，我们说近距离接触飞沫传播容易感染，所以距离保持远一点，1.5米到2米左右是比较安全的。扩散周知#北京发现41起聚集性病例#L浙江卫视中国蓝的微博视频?,0
02月03日 23:13,谁告诉一下？不是刚说了接触传播，飞沫出了人体就下沉了，是喷到物体上，接触传播吗？二十五人都是摸了啥？？//@hi小朱要努力加油开心:我想知道一共多少人聚餐？！？五千人里二十五人还是一共二十五人聚餐，全传染了？？！比例？谁告诉我？,0
01月29日 10:54,我在想我这个生物钟该咋调整一下上班以后可咋整?,0
02月04日 23:32,阿里,0
01月30日 17:53,【在重庆受疫情影响无法参加庭审者，可申请延期】近日，重庆市高级人民法院下发《关于进一步加强新型冠状病毒感染的肺炎疫情防控工作的通知》（下称《通知》），对做好当前全市三级法院疫情防控工作提出具体要求。依法严厉打击故意传播病毒等犯罪《通知》要求，全市法院要形成“一把手”负总责、分?展开全文c,0
02月04日 23:46,阿里爸爸,0
02月05日 08:32,【洗手多重要？专家反复强调】湖北省举行中央指导组医疗救治专场新闻发布会，会上蒋荣猛表示，病毒是通过飞沫和接触传播的，飞沫沉降之后更多的会通过手传播，所以一定要把手洗好，每天你洗几遍？L小央视频的秒拍视频（小央视频）???,0
02月05日 17:35,【病毒能在每天接触的物品上活多久？】新冠病毒在温度环境合适的情况下可存活5天，可通过飞沫和接触传播。在日常生活中，我们经常接触的一些物品可能是病毒存活的“温床”。那病毒又能在这些物品表面存活多久呢？戳视频找答案，别忘了把答案转发给你身边的人哦~（李雪瑶）@中新视频?展开全文c,0
02月05日 20:15,#洗手在共抗疫情#：年後凸ぃ如果你浠爻蹋分享@舒肤佳Safeguard的回程小N士以及洗手六步法，椭你了解哪些r刻需要注意防o。接|鞑ズ秃粑道w沫是主要鞑ネ健Ｃ人都需要做到勤洗手，戴口罩，p少外出活樱洗手洗澡p防o，除菌抑菌更安心。我一起期待春暖花_r，疫情退去！?,0
